Browser,Browser Version,Users,Sessions,Pages/Session,Avg. Session Duration,% New Sessions,Bounce Rate
Edge,108.0.8143.457,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.8146.122,1,1,2,00:04:33,100.00%,0.00%
Edge,108.0.8151.704,1,1,2,00:01:22,100.00%,0.00%
Edge,108.0.8217.522,1,1,3,00:00:19,100.00%,0.00%
Edge,108.0.823.298,1,1,1,00:00:00,0.00%,100.00%
Edge,108.0.8277.553,1,1,1,00:00:01,100.00%,0.00%
Edge,108.0.8290.907,1,1,1,00:00:00,0.00%,100.00%
Edge,108.0.8331.374,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.8355.685,1,1,2,00:02:14,100.00%,0.00%
Edge,108.0.8373.165,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.8397.286,1,1,1,00:00:00,0.00%,100.00%
Edge,108.0.841.594,1,2,1,00:00:00,50.00%,100.00%
Edge,108.0.8416.732,1,2,1,00:00:01,0.00%,0.00%
Edge,108.0.8426.353,1,1,1,00:00:01,100.00%,0.00%
Edge,108.0.8445.685,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.8468.712,1,1,2,00:02:16,100.00%,0.00%
Edge,108.0.8481.381,1,2,1,00:00:00,50.00%,100.00%
Edge,108.0.8495.182,1,1,3,00:01:17,100.00%,0.00%
Edge,108.0.8573.148,1,1,1,00:00:07,100.00%,0.00%
Edge,108.0.8585.929,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.8652.294,1,2,1,00:00:00,50.00%,100.00%
Edge,108.0.8797.238,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.8800.582,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.8876.588,1,1,1,00:00:06,0.00%,0.00%
Edge,108.0.8884.684,1,1,2,00:00:12,100.00%,0.00%
Edge,108.0.8892.882,1,1,1,00:00:02,100.00%,100.00%
Edge,108.0.8940.902,1,1,1,00:00:00,100.00%,0.00%
Edge,108.0.8956.510,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.8991.280,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.8991.635,1,1,1,00:00:01,0.00%,100.00%
Edge,108.0.8999.517,1,2,1.5,00:01:53,50.00%,50.00%
Edge,108.0.9048.159,1,1,1,00:00:00,0.00%,100.00%
Edge,108.0.9072.973,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.9152.779,1,1,1,00:00:00,0.00%,100.00%
Edge,108.0.9159.852,1,1,1,00:00:00,100.00%,0.00%
Edge,108.0.9184.450,1,1,2,00:00:01,100.00%,0.00%
Edge,108.0.920.527,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.9211.240,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.9214.537,1,1,1,00:00:00,0.00%,0.00%
Edge,108.0.9248.158,1,1,1,00:00:00,0.00%,100.00%
Edge,108.0.9280.773,1,1,1,00:00:00,100.00%,0.00%
Edge,108.0.9312.734,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.9322.789,1,1,2,00:00:27,100.00%,0.00%
Edge,108.0.9366.673,1,1,1,00:00:00,100.00%,0.00%
Edge,108.0.9377.725,1,1,2,00:02:31,100.00%,0.00%
Edge,108.0.9381.385,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.9470.719,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.9506.971,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.9515.485,1,1,1,00:00:01,0.00%,0.00%
Edge,108.0.9657.860,1,1,2,00:00:40,100.00%,0.00%
Edge,108.0.9659.936,1,1,1,00:00:00,0.00%,100.00%
Edge,108.0.9672.146,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.9673.551,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.9692.686,1,1,2,00:00:10,100.00%,0.00%
Edge,108.0.9704.710,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.9705.546,1,2,1,00:00:00,50.00%,100.00%
Edge,108.0.9726.461,1,1,1,00:00:06,100.00%,0.00%
Edge,108.0.9731.392,1,1,1,00:00:00,100.00%,0.00%
Edge,108.0.975.678,1,1,2,00:00:47,100.00%,0.00%
Edge,108.0.9799.897,1,1,2,00:00:18,100.00%,0.00%
Edge,108.0.9837.283,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.9846.564,1,1,1,00:00:00,100.00%,0.00%
Edge,108.0.9877.577,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.9879.927,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.9911.504,1,1,2,00:01:17,100.00%,0.00%
Edge,108.0.9934.785,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.9937.719,1,2,1,00:00:00,50.00%,100.00%
Edge,108.0.9958.251,1,1,2,00:00:23,100.00%,0.00%
Edge,109.0.1474.0,1,1,29,00:22:09,100.00%,0.00%
Edge,111.0.0.0,1,2,4.5,00:00:49,0.00%,0.00%
Edge,15.15215,1,1,9,00:08:49,100.00%,0.00%
Edge,18.17758,1,3,2.33,00:00:40,33.33%,33.33%
Edge,18.19577,1,1,1,00:00:00,100.00%,100.00%
Edge,18.20201,1,1,3,00:04:56,100.00%,0.00%
Edge,71D8CCE4,1,1,1,00:00:00,100.00%,100.00%
Edge,77.05.4.5158,1,2,1,00:00:00,0.00%,100.00%
Edge,79.0.309.65,1,1,3,00:00:29,100.00%,0.00%
Edge,80.0.320.4,1,1,1,00:00:00,100.00%,100.00%
Edge,81.0.416.88,1,1,1,00:00:00,100.00%,100.00%
Edge,85.0.564.41,1,1,1,00:00:00,100.00%,0.00%
Edge,86.0.622.19,1,7,0.71,00:01:13,14.29%,42.86%
Edge,87.0.663.0,1,1,1,00:00:00,100.00%,100.00%
Edge,88.0.705.62,1,1,1,00:00:00,100.00%,100.00%
Edge,91.0.864.11,1,1,3,00:03:49,100.00%,0.00%
Edge,93.0.1001.52,1,1,1,00:00:00,100.00%,100.00%
Edge,93.0.938.24,1,1,1,00:00:00,100.00%,100.00%
Edge,93.0.946.0,1,1,1,00:00:00,100.00%,100.00%
Edge,94.0.1007.2,1,1,1,00:00:00,100.00%,100.00%
Edge,94.0.871.10,1,1,1,00:00:00,100.00%,100.00%
Edge,94.0.887.56,1,1,1,00:00:00,100.00%,100.00%
Edge,94.0.939.33,1,1,1,00:00:00,100.00%,100.00%
Edge,94.0.986.0,1,1,1,00:00:00,100.00%,100.00%
Edge,94.0.992.48,1,3,2.33,00:02:50,33.33%,0.00%
Edge,95.0.1020.48,1,1,9,00:20:19,100.00%,0.00%
Edge,95.0.877.46,1,1,1,00:00:00,100.00%,100.00%
Edge,95.0.892.36,1,1,1,00:00:00,100.00%,0.00%
Edge,95.0.932.47,1,1,1,00:00:02,100.00%,100.00%
Edge,95.0.940.12,1,1,1,00:00:00,100.00%,0.00%
Edge,95.0.957.21,1,1,1,00:00:00,100.00%,100.00%
Edge,95.0.985.7,1,1,1,00:00:00,100.00%,100.00%
Edge,96.0.1000.37,1,1,1,00:00:00,100.00%,100.00%
Edge,96.0.1007.39,1,1,1,00:00:00,100.00%,0.00%
Edge,96.0.1054.79,1,1,2,00:01:26,100.00%,0.00%
